Date,Close,High,Low,Open,Volume
2023-01-30,4010.45849609375,4080.994198286354,3980.228909439777,4040.688082747723,82589400
2023-01-31,4010.45849609375,4070.917669401696,3980.228909439777,4040.688082747723,167297000
2023-02-01,3909.69287109375,4050.7642633497103,3899.6163430754673,4010.458151276579,165628800
2023-02-02,3919.76953125,3929.846059607969,3859.310361102185,3919.76953125,99351800
2023-02-03,4000.3818359375,4010.458364491499,3929.8461360595093,3929.8461360595093,108125400
2023-02-06,3980.22900390625,4050.764707772943,3929.8463582871836,4000.3820621538766,109098400
2023-02-07,4101.1474609375,4121.300519713605,3990.3056376689187,4010.4586964450245,118132000
2023-02-08,4111.22314453125,4121.299671846277,4070.91703527114,4080.9935625861676,75656000
2023-02-09,4131.376953125,4191.836128048781,4131.376953125,4151.530011432927,121757400
2023-02-10,4151.5302734375,4211.989452176881,4091.071094698119,4211.989452176881,81114600
2023-02-13,4171.6826171875,4252.294841674215,4131.376504944143,4252.294841674215,56771800
2023-02-14,4181.75927734375,4211.988862481175,4141.453163827184,4211.988862481175,39570600
2023-02-15,4121.30029296875,4171.682937137072,4070.9176488004277,4151.529879469743,75595200
2023-02-16,4101.1474609375,4141.453578489712,4080.994402161394,4121.300519713605,49569000
2023-02-17,4151.5302734375,4151.5302734375,4070.9180351183254,4101.147624488016,58521000
2023-02-20,4141.453125,4151.529653284671,4111.223540145986,4151.529653284671,40696400
2023-02-21,4111.22314453125,4151.52925379136,4101.146617216223,4151.52925379136,52604400
2023-02-22,4030.61181640625,4101.147523193359,4010.458757324219,4080.994464111328,75513400
2023-02-23,4060.8408203125,4070.9173484026055,4000.3816517718674,4020.534707952078,177505200
2023-02-24,4080.993896484375,4121.300009042246,4060.84084020544,4080.993896484375,54138200
2023-02-27,4091.07080078125,4091.07080078125,4050.7646845173954,4060.841213583359,47901800
2023-02-28,4030.61181640625,4091.0709936523435,4030.61181640625,4060.8414050292968,146440400
2023-03-01,4070.91748046875,4111.223594136757,4050.7644236347464,4091.0705373027536,89565600
2023-03-02,4121.30029296875,4151.529879469743,4091.0707064677563,4091.0707064677563,72991800
2023-03-03,4050.763916015625,4131.376133249767,4040.6873888613572,4111.2230789412315,88630600
2023-03-06,4080.993896484375,4121.300009042246,4060.84084020544,4101.146952763311,53728800
2023-03-07,4101.1474609375,4141.453578489712,4080.994402161394,4091.070931549447,80065800
2023-03-08,4141.453125,4141.453125,4101.147011861314,4131.376596715329,104838200
2023-03-09,4211.98876953125,4232.141825844797,4171.682656904157,4191.835713217703,83286000
2023-03-10,4181.75927734375,4201.912334102033,4141.453163827184,4201.912334102033,107531000
2023-03-13,4171.6826171875,4181.759145248339,4121.299976883303,4141.453033004982,92827600
2023-03-14,4000.3818359375,4141.453235693482,3970.1522502755042,4111.223650031487,191898400
2023-03-15,4050.763916015625,4101.146551786964,3970.1516987814834,4050.763916015625,262828600
2023-03-16,3970.15234375,4060.841102871193,3960.0758149587564,4060.841102871193,135467400
2023-03-17,4070.91748046875,4080.994008885752,4000.381781549737,4010.458309966739,224171600
2023-03-20,4030.61181640625,4070.9179345703124,4030.61181640625,4050.764875488281,46333000
2023-03-21,4232.1416015625,4232.1416015625,4060.8406319754463,4070.9171595982143,131331000
2023-03-24,4393.3662109375,4413.519266950975,4262.3713468499145,4282.524402863389,222156200
2023-03-27,4321.0673828125,4416.385045668658,4321.0673828125,4405.794194240196,151825600
2023-03-28,4289.294921875,4352.840031828704,4278.704070216049,4321.067476851852,103951000
2023-03-29,4384.61279296875,4395.203645125679,4321.067680027174,4342.249384341033,107454600
2023-03-30,4331.65869140625,4405.7946592298285,4331.65869140625,4384.6129541373775,97186200
2023-03-31,4374.02197265625,4374.02197265625,4321.067711486077,4352.840268188181,92013200
2023-04-03,4458.74853515625,4458.74853515625,4405.794277019003,4405.794277019003,101724400
2023-04-04,4405.794921875,4490.521747295673,4321.068096454327,4448.158334585337,94482600
2023-04-05,4426.97607421875,4448.157777923146,4363.430963105562,4363.430963105562,42655500
2023-04-06,4384.61279296875,4426.976201596467,4363.431088654891,4426.976201596467,47999400
2023-04-10,4321.0673828125,4384.612491383272,4278.703977098652,4363.430788526348,74787800
2023-04-11,4321.0673828125,4321.0673828125,4278.703977098652,4321.0673828125,37744800
2023-04-12,4363.431640625,4426.976761604976,4321.068226638349,4321.068226638349,111901500
2023-04-13,4342.24951171875,4405.79462652439,4342.24951171875,4384.612921589177,67928500
2023-04-14,4426.97607421875,4448.157777923146,4363.430963105562,4363.430963105562,142479800
2023-04-17,4342.24951171875,4448.158036394817,4342.24951171875,4426.976331459603,95789900
2023-04-18,4384.61279296875,4448.157905910326,4342.249384341033,4363.431088654891,106962300
2023-04-26,4405.794921875,4596.430279071515,4384.613215519832,4575.248572716347,207338000
2023-04-27,4405.794921875,4426.976628230168,4384.613215519832,4384.613215519832,51076300
2023-04-28,4384.61279296875,4426.976201596467,4363.431088654891,4426.976201596467,116957800
2023-05-02,4448.15771484375,4448.15771484375,4384.612604631697,4448.15771484375,98024100
2023-05-03,4426.97607421875,4448.157777923146,4363.430963105562,4448.157777923146,110683000
2023-05-04,4384.61279296875,4426.976201596467,4342.249384341033,4384.61279296875,100945900
2023-05-05,4384.61279296875,4405.794497282609,4342.249384341033,4384.61279296875,64499500
2023-05-08,4342.24951171875,4405.79462652439,4342.24951171875,4384.612921589177,64678000
2023-05-09,4278.7041015625,4342.249211981745,4278.7041015625,4321.067508508663,93531000
2023-05-10,4299.88623046875,4342.249641606373,4278.704524899938,4278.704524899938,58148200
2023-05-11,4321.0673828125,4321.0673828125,4257.522274241728,4299.885679955576,63262300
2023-05-12,4236.34130859375,4299.886428222657,4236.34130859375,4299.886428222657,105407300
